time,input,output,dexa,dexb,dexc,token0,token1,token2 
1650265839942,5,4.7683151292349555,spooky,spooky,spooky,LQDR,FTM,SPIRIT
1650265840356,5,4.894432977458322,spooky,spooky,spooky,SPIRIT,FTM,LQDR
1650265840716,5,4.8957529568118225,spooky,spirit,spirit,FTM,LQDR,SPIRIT
1650265841075,5,4.769410464242504,spooky,spirit,spirit,FTM,SPIRIT,LQDR
1650265841401,5,4.95889641818297,spooky,spirit,spirit,FTM,LQDR,SPIRIT
1650265841721,5,4.764116055644344,spooky,spirit,spirit,FTM,SPIRIT,LQDR
1650265842056,5,4.9608950611323985,spooky,spirit,spirit,LQDR,FTM,SPIRIT
1650265842368,5,4.890188273039645,spooky,spirit,spirit,SPIRIT,FTM,LQDR
1650265842914,5,5.027190503460363,spooky,spirit,spirit,FTM,LQDR,SPIRIT
1650265843299,5,4.786367227418992,spooky,spirit,spirit,FTM,SPIRIT,LQDR
1650265843634,5,4.841498553934771,spooky,solid,solid,LQDR,FTM,SPIRIT
1650265844030,5,4.895687491483742,spooky,solid,solid,SPIRIT,FTM,LQDR
1650265844391,5,4.89408845595372,spirit,spooky,spooky,LQDR,SPIRIT,FTM
1650265844742,5,4.769411407022911,spirit,spooky,spooky,SPIRIT,LQDR,FTM
1650265845150,5,4.763167505762629,spirit,spooky,spooky,LQDR,FTM,SPIRIT
1650265845534,5,4.889844104501553,spirit,spooky,spooky,LQDR,SPIRIT,FTM
1650265845849,5,4.958896014988342,spirit,spooky,spooky,SPIRIT,FTM,LQDR
1650265846166,5,4.960895826508579,spirit,spooky,spooky,SPIRIT,LQDR,FTM
1650265846548,5,4.895342923010387,spirit,spooky,spooky,LQDR,SPIRIT,FTM
1650265846930,5,4.841837070024289,spirit,spooky,spooky,SPIRIT,LQDR,FTM
1650265847274,5,4.89162168847824,spirit,spirit,spirit,FTM,LQDR,SPIRIT
1650265847613,5,4.960897414313481,spirit,spirit,spirit,FTM,SPIRIT,LQDR
1650265847940,5,4.958894377391246,spirit,spirit,spirit,LQDR,SPIRIT,FTM
1650265848304,5,4.764260727617271,spirit,spirit,spirit,SPIRIT,LQDR,FTM
1650265848656,5,4.95459657785831,spirit,spirit,spirit,FTM,LQDR,SPIRIT
1650265849033,5,4.955393048707556,spirit,spirit,spirit,FTM,SPIRIT,LQDR
1650265849394,5,4.955391968266024,spirit,spirit,spirit,LQDR,FTM,SPIRIT
1650265849677,5,4.954594715519038,spirit,spirit,spirit,LQDR,SPIRIT,FTM
1650265858896,5,4.9545962912946075,spirit,spirit,spirit,SPIRIT,FTM,LQDR
1650265859194,5,4.955391994688336,spirit,spirit,spirit,SPIRIT,LQDR,FTM
1650265859596,5,5.022867307974823,spirit,spirit,spirit,FTM,LQDR,SPIRIT
1650265859976,5,4.978531348827156,spirit,spirit,spirit,FTM,SPIRIT,LQDR
1650265860320,5,4.960169237631878,spirit,spirit,spirit,LQDR,SPIRIT,FTM
1650265860657,5,4.836508906527401,spirit,spirit,spirit,SPIRIT,LQDR,FTM
1650265860994,5,5.026663197894097,spirit,solid,solid,LQDR,SPIRIT,FTM
1650265861414,5,4.785915328242262,spirit,solid,solid,SPIRIT,LQDR,FTM
1650265861855,5,4.836171848669111,spirit,solid,solid,LQDR,FTM,SPIRIT
1650265862216,5,5.022305721768176,spirit,solid,solid,LQDR,SPIRIT,FTM
1650265862592,5,4.960170832876116,spirit,solid,solid,SPIRIT,FTM,LQDR
1650265862920,5,4.9785297651773,spirit,solid,solid,SPIRIT,LQDR,FTM
1650265863582,5,5.027951738953612,spirit,solid,solid,LQDR,SPIRIT,FTM
1650265863979,5,4.8589111630183455,spirit,solid,solid,SPIRIT,LQDR,FTM
1650265864358,5,4.784811035482666,solid,spooky,spooky,LQDR,FTM,SPIRIT
1650265864718,5,5.026770577303135,solid,spooky,spooky,SPIRIT,FTM,LQDR
1650265865074,5,4.896974162047991,solid,spirit,spirit,FTM,LQDR,SPIRIT
1650265865402,5,4.841840283153084,solid,spirit,spirit,FTM,SPIRIT,LQDR
1650265865699,5,4.960171229313511,solid,spirit,spirit,FTM,LQDR,SPIRIT
1650265866028,5,4.836466434772708,solid,spirit,spirit,FTM,SPIRIT,LQDR
1650265866346,5,4.97852854997654,solid,spirit,spirit,LQDR,FTM,SPIRIT
1650265866645,5,5.022412947501388,solid,spirit,spirit,SPIRIT,FTM,LQDR
1650265866934,5,5.028468469175201,solid,spirit,spirit,FTM,LQDR,SPIRIT
1650265867262,5,4.859054603742372,solid,spirit,spirit,FTM,SPIRIT,LQDR
1650265867581,5,4.8585698251404414,solid,solid,solid,LQDR,FTM,SPIRIT
1650265867889,5,5.0280591021115155,solid,solid,solid,SPIRIT,FTM,LQDR
1650265873239,5,4.7683151292349555,spooky,spooky,spooky,LQDR,FTM,SPIRIT
1650265873548,5,4.894432977458322,spooky,spooky,spooky,SPIRIT,FTM,LQDR
1650265873905,5,4.8957529568118225,spooky,spirit,spirit,FTM,LQDR,SPIRIT
1650265874529,5,4.769410464242504,spooky,spirit,spirit,FTM,SPIRIT,LQDR
1650265874798,5,4.95890015482587,spooky,spirit,spirit,FTM,LQDR,SPIRIT
1650265875114,5,4.764116055644344,spooky,spirit,spirit,FTM,SPIRIT,LQDR
1650265875427,5,4.960891323086756,spooky,spirit,spirit,LQDR,FTM,SPIRIT
1650265875721,5,4.890188273039645,spooky,spirit,spirit,SPIRIT,FTM,LQDR
1650265876092,5,5.027190503460363,spooky,spirit,spirit,FTM,LQDR,SPIRIT
1650265876424,5,4.786367227418992,spooky,spirit,spirit,FTM,SPIRIT,LQDR
1650265876748,5,4.841498553934771,spooky,solid,solid,LQDR,FTM,SPIRIT
1650265877070,5,4.895687491483742,spooky,solid,solid,SPIRIT,FTM,LQDR
1650265877423,5,4.89408845595372,spirit,spooky,spooky,LQDR,SPIRIT,FTM
1650265877741,5,4.769411407022911,spirit,spooky,spooky,SPIRIT,LQDR,FTM
1650265878037,5,4.763167505762629,spirit,spooky,spooky,LQDR,FTM,SPIRIT
1650265878691,5,4.889844104501553,spirit,spooky,spooky,LQDR,SPIRIT,FTM
1650265879075,5,4.958899751476953,spirit,spooky,spooky,SPIRIT,FTM,LQDR
1650265879464,5,4.96089208836191,spirit,spooky,spooky,SPIRIT,LQDR,FTM
1650265879797,5,4.895342923010387,spirit,spooky,spooky,LQDR,SPIRIT,FTM
1650265880123,5,4.841837070024289,spirit,spooky,spooky,SPIRIT,LQDR,FTM
1650265880435,5,4.89162168847824,spirit,spirit,spirit,FTM,LQDR,SPIRIT
1650265880747,5,4.960893676318982,spirit,spirit,spirit,FTM,SPIRIT,LQDR
1650265881122,5,4.958898113978274,spirit,spirit,spirit,LQDR,SPIRIT,FTM
1650265881457,5,4.764260727617271,spirit,spirit,spirit,SPIRIT,LQDR,FTM
1650265881757,5,4.954600311261181,spirit,spirit,spirit,FTM,LQDR,SPIRIT
1650265882368,5,4.955389314809636,spirit,spirit,spirit,FTM,SPIRIT,LQDR
1650265882730,5,4.955388234366861,spirit,spirit,spirit,LQDR,FTM,SPIRIT
1650265883110,5,4.954598448917644,spirit,spirit,spirit,LQDR,SPIRIT,FTM
1650265883430,5,4.954600024594789,spirit,spirit,spirit,SPIRIT,FTM,LQDR
1650265883765,5,4.955388260688925,spirit,spirit,spirit,SPIRIT,LQDR,FTM
1650265884085,5,5.022867307974823,spirit,spirit,spirit,FTM,LQDR,SPIRIT
1650265884412,5,4.978531348827156,spirit,spirit,spirit,FTM,SPIRIT,LQDR
1650265884781,5,4.960169237631878,spirit,spirit,spirit,LQDR,SPIRIT,FTM
1650265885110,5,4.836508906527401,spirit,spirit,spirit,SPIRIT,LQDR,FTM
1650265885406,5,5.026663197894097,spirit,solid,solid,LQDR,SPIRIT,FTM
1650265885707,5,4.785915328242262,spirit,solid,solid,SPIRIT,LQDR,FTM
1650265885994,5,4.836171848669111,spirit,solid,solid,LQDR,FTM,SPIRIT
1650265886335,5,5.022305721768176,spirit,solid,solid,LQDR,SPIRIT,FTM
1650265886687,5,4.960170832876116,spirit,solid,solid,SPIRIT,FTM,LQDR
1650265887039,5,4.9785297651773,spirit,solid,solid,SPIRIT,LQDR,FTM
1650265887689,5,5.027951738953612,spirit,solid,solid,LQDR,SPIRIT,FTM
1650265888031,5,4.8589111630183455,spirit,solid,solid,SPIRIT,LQDR,FTM
1650265888374,5,4.784811035482666,solid,spooky,spooky,LQDR,FTM,SPIRIT
1650265888783,5,5.026770577303135,solid,spooky,spooky,SPIRIT,FTM,LQDR
1650265889085,5,4.896974162047991,solid,spirit,spirit,FTM,LQDR,SPIRIT
1650265889404,5,4.841840283153084,solid,spirit,spirit,FTM,SPIRIT,LQDR
1650265889783,5,4.960171229313511,solid,spirit,spirit,FTM,LQDR,SPIRIT
1650265890101,5,4.836466434772708,solid,spirit,spirit,FTM,SPIRIT,LQDR
